ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,ExpectedDomain,DomainFlag
23,Matiullah Jan,Dawn News,The News,AJK,Muzaffarabad,Terrorism,Five soldiers martyred in ambush,22.14294612,1000000.0,48.0,-0.2664528587,1.0,35.89985691,,,1,0,2023-04-25,English,Neutral,,"['Judiciary', 'Politics']",0
24,Shahzeb Khanzada,Geo News,The News,AJK,Muzaffarabad,Terrorism,Five soldiers martyred in ambush,,20000000.0,33.0,0.8638933758,2.0,,195322.0,5000000.0,,0,2021-06-25,ENG,Opposition,26639.0,"['Politics', 'Economy', 'Media']",0
25,Ansar Abbasi,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Politics,Supreme Court issues notice on corruption case,83.45650998,,294.0,0.5140242391,,,,,,0,2019-11-24,,,,"['Judiciary', 'Politics']",1
26,Mohsin Raza,Geo News,The News,KPK,Peshawar,Sports,Pakistan faces defeat in hockey series,100.0,1000000.0,,-0.1344199859,0.0,23.37949008,,2775615.446,1,0,2025-02-02,urdu,,,"['Media', 'Politics']",0
27,Ansar Abbasi,ARY News,The News,Balochistan,Quetta,Politics,PPP vs PMLN war of words heats up,100.0,,219.0,,5.0,,78597.0,1779782.995,0,0,2021-08-26,ENG,,4083.0,"['Judiciary', 'Politics']",1
28,Kamran Khan,Hum News,Nawa-i-Waqt,Sindh,Hyderabad,Environment,Flood relief funds under scrutiny,,1000000.0,160.0,-1.344133581,,1043841.0,,,1,0,2018-12-07,Urdu,Neutral,,"['Politics', 'Economy', 'Sports', 'Media']",0
29,Shahzeb Khanzada,ARY News,The News,Sindh,Karachi,Environment,Health crisis follows floods,88.28560847,1000000.0,,1.965456041,,1971314.0,,10000000.0,1,0,2024-02-09,English,Pro-Govt,4106.0,"['Politics', 'Economy', 'Media']",0
30,Kamran Khan,ARY News,Nawa-i-Waqt,Sindh,Hyderabad,Politics,Election rigging scandal unfolds in Lahore,2.233879752,20000000.0,175.0,-1.148517143,3.0,43.0386621,,,1,0,2023-02-21,Urdu,Opposition,7312.0,"['Politics', 'Economy', 'Sports', 'Media']",1
31,Saleem Safi,Hum News,Jang,Punjab,Multan,Health,Dengue cases rising in Lahore hospitals,,1000000.0,,-0.8043752763,5.0,,67612.0,,1,0,2025-01-06,urdu,Opposition,,"['Politics', 'Terrorism']",0
32,Rauf Klasra,Express News,Express Tribune,Punjab,Multan,Economy,Exports see slight recovery,,,130.0,1.11956325,5.0,44.00103605,,2694329.795,1,0,2022-03-14,ENG,,,"['Politics', 'Economy']",1
33,Kamran Shahid,Express News,Daily Pakistan,KPK,Peshawar,Crime,Chief Justice orders suo moto on Karachi violence,3.045681607,3715541.0,,0.2638459947,4.0,,,10000000.0,1,0,2019-01-22,Urdu,Pro-Govt,29698.0,"['Politics', 'Media']",0
34,Shahzeb Khanzada,Dawn News,Nawa-i-Waqt,Sindh,Karachi,Economy,Budget deficit reaches record high,,4607917.0,,-0.4764006576,,31.68400958,88527.0,10000000.0,0,0,2018-08-04,urdu,,48307.0,"['Politics', 'Economy', 'Media']",1
35,Asma Shirazi,Geo News,Jang,Punjab,Lahore,Politics,Health workers go on strike in Punjab,,5000000.0,101.0,0.8508295222,3.0,43.37156131,,10000000.0,0,0,2025-12-13,ENG,Pro-Govt,6845.0,"['Politics', 'Media']",1
36,Dr. Shahid Masood,AbbTakk News,Daily Pakistan,Sindh,Karachi,Economy,Bomb blast near Karachi market,,,,-1.174308916,5.0,,118241.0,5000000.0,,0,2023-05-24,English,Opposition,6654.0,"['Politics', 'Judiciary']",0
37,Talat Hussain,Geo News,Nawa-i-Waqt,Sindh,Karachi,Sports,Hockey team faces funding crisis,,5000000.0,151.0,,3.0,8.553213592,137745.0,,,0,2021-03-27,,Neutral,,"['Politics', 'Media']",0
38,Umar Cheema,AbbTakk News,Dawn,KPK,Peshawar,Education,Punjab launches scholarship scheme,,1000000.0,,1.552741208,3.0,3.239713925,,,0,0,2021-12-08,,Neutral,,"['Crime', 'Politics']",0
39,Rauf Klasra,Samaa TV,Nawa-i-Waqt,Punjab,Rawalpindi,Economy,IMF deal finalised today,,8660112.0,,,3.0,,124737.0,649737.2569,0,0,2020-03-21,urdu,Opposition,4240.0,"['Politics', 'Economy']",1
40,Owais Tohid,Hum News,Dawn,Islamabad,Islamabad,Economy,Bomb blast near Karachi market,,17105775.0,,,-1.0,48.49927644,,5000000.0,1,0,2021-09-06,,,26427.0,"['Media', 'Politics']",0
41,Ansar Abbasi,Samaa TV,Nawa-i-Waqt,Sindh,Karachi,Crime,Senate passes constitutional amendment,,20000000.0,160.0,-0.9517626575,0.0,1132015.0,116825.0,,0,0,2021-11-17,,Neutral,43052.0,"['Judiciary', 'Politics']",0
42,Kamran Khan,Hum News,Daily Pakistan,AJK,Muzaffarabad,Education,Punjab launches scholarship scheme,4.094381277,18782097.0,,-0.69905055,,,,1046743.078,1,0,2021-03-12,English,,31468.0,"['Politics', 'Economy', 'Sports', 'Media']",0
43,Owais Tohid,Geo News,The News,Balochistan,Quetta,Education,Curriculum reforms announced,,,,,5.0,1815317.0,,1995266.471,0,0,2021-07-19,,Neutral,,"['Media', 'Politics']",0
44,Asma Shirazi,Geo News,Nawa-i-Waqt,Balochistan,Quetta,Sports,Hockey team faces funding crisis,9.800372589,1000000.0,330.0,,,1329819.0,44801.0,4430479.859,,0,2018-02-27,,Pro-Govt,,"['Politics', 'Media']",0
45,Rauf Klasra,Hum News,Jang,Balochistan,Quetta,Media,News anchor resigns citing threats,,1000000.0,149.0,0.8038024018,,20.82803379,115709.0,10000000.0,0,0,2024-07-08,Urdu,Neutral,,"['Politics', 'Economy']",0
46,Umar Cheema,Express News,Nawa-i-Waqt,Punjab,Rawalpindi,Politics,Villages submerged in southern Punjab,66.12470446,,202.0,,1.0,4.540836125,,5000000.0,0,0,2023-05-04,urdu,Opposition,,"['Crime', 'Politics']",1
47,Najam Sethi,Samaa TV,Daily Pakistan,AJK,Muzaffarabad,Economy,PM announces new economic reforms,19.78534726,5000000.0,,,,18.41738907,,3743828.005,,0,2018-12-21,urdu,Neutral,24924.0,"['Politics', 'Media', 'Sports']",0
48,Najam Sethi,Dawn News,Express Tribune,KPK,Peshawar,Economy,Trade deficit widens again,,20000000.0,,,1.0,119999.0,,10000000.0,0,0,2018-03-14,urdu,Pro-Govt,4528.0,"['Politics', 'Media', 'Sports']",0
49,Mohsin Raza,ARY News,The News,Islamabad,Islamabad,Judiciary,PM announces new economic reforms,98.94008014,,93.0,,-1.0,136222.0,69699.0,5000000.0,,0,2023-10-24,urdu,Neutral,,"['Media', 'Politics']",0
50,Rauf Klasra,Geo News,Express Tribune,Sindh,Hyderabad,Economy,Budget deficit reaches record high,0.05457336439,5000000.0,,,,5.048626674,124892.0,5000000.0,0,0,2022-06-28,Urdu,Neutral,,"['Politics', 'Economy']",1
51,Nusrat Javed,ARY News,The News,Sindh,Karachi,Politics,Cabinet approves controversial media law,,20000000.0,409.0,,5.0,48.11842986,,1932042.325,0,0,2020-10-14,ENG,Pro-Govt,,"['Politics', 'Media']",1
52,Nusrat Javed,ARY News,Daily Pakistan,AJK,Muzaffarabad,Economy,Exports see slight recovery,37.23377735,1000000.0,,,0.0,,71305.0,,0,0,2023-03-21,urdu,Opposition,,"['Politics', 'Media']",0
53,Owais Tohid,ARY News,Dawn,AJK,Muzaffarabad,Education,Education ministry faces criticism,,1000000.0,470.0,-1.584900262,,902654.0,30115.0,311644.1383,1,0,2023-08-01,ENG,Opposition,35693.0,"['Media', 'Politics']",0
54,Dr. Shahid Masood,Hum News,Jang,Punjab,Multan,Media,Dawn faces backlash over editorial,,1000000.0,469.0,0.7068342619,3.0,302800.0,,5000000.0,0,0,2025-01-12,English,Opposition,5124.0,"['Politics', 'Judiciary']",0
55,Dr. Shahid Masood,Hum News,Daily Pakistan,KPK,Peshawar,Education,Mental health awareness campaign launched,0.9964727595,15686032.0,,-1.934714038,0.0,,166713.0,5000000.0,1,0,2025-04-04,urdu,Opposition,26503.0,"['Politics', 'Judiciary']",0
56,Mohsin Raza,Geo News,Jang,Punjab,Multan,Politics,Supreme Court issues notice on corruption case,99.6800772,1000000.0,,1.503587231,-1.0,,,10000000.0,1,0,2020-08-28,urdu,Pro-Govt,16119.0,"['Media', 'Politics']",1
57,Saleem Safi,Express News,Express Tribune,Punjab,Multan,Economy,IMF deal finalised today,,5000000.0,175.0,0.9020161641,-1.0,213778.0,,4492428.434,0,0,2025-06-22,ENG,Neutral,35012.0,"['Politics', 'Terrorism']",0
58,Dr. Shahid Masood,Hum News,Daily Pakistan,AJK,Muzaffarabad,Environment,Karachi drainage system collapses,26.67847587,20000000.0,,0.451161345,1.0,,,10000000.0,0,0,2022-09-09,,,,"['Politics', 'Judiciary']",0
59,Mohsin Raza,Express News,Daily Pakistan,Sindh,Karachi,Education,Teachers boycott classes in KP,66.47051232,5000000.0,,,,,54564.0,10000000.0,,0,2020-08-28,urdu,Neutral,24959.0,"['Media', 'Politics']",0
60,Shahzeb Khanzada,ARY News,Jang,AJK,Muzaffarabad,Politics,Cabinet approves controversial media law,87.21112889,1000000.0,,,2.0,254801.0,39365.0,5000000.0,0,0,2023-09-11,urdu,Opposition,32213.0,"['Politics', 'Economy', 'Media']",1
61,Rauf Klasra,Samaa TV,Jang,Islamabad,Islamabad,Crime,Chief Justice orders suo moto on Karachi violence,,3008422.0,147.0,,2.0,,98496.0,3018827.233,0,0,2019-04-27,Urdu,Pro-Govt,40352.0,"['Politics', 'Economy']",0
62,Matiullah Jan,Hum News,Dawn,Punjab,Lahore,Economy,Revenue from tax declines drastically,17.98724661,20000000.0,,-1.116102753,1.0,1378813.0,110882.0,,0,0,2025-01-12,,Neutral,47531.0,"['Judiciary', 'Politics']",0
63,Saleem Safi,Dawn News,Nawa-i-Waqt,Sindh,Karachi,Politics,Election rigging scandal unfolds in Lahore,45.24796609,,155.0,0.05971328632,,,28660.0,10000000.0,0,0,2024-02-09,ENG,Opposition,10640.0,"['Politics', 'Terrorism']",1
64,Saleem Safi,ARY News,Jang,AJK,Muzaffarabad,Media,Villages submerged in southern Punjab,20.61679324,1000000.0,,-0.4877864094,2.0,47.99987674,120135.0,3545173.472,1,0,2024-06-12,Urdu,Neutral,39201.0,"['Politics', 'Terrorism']",0
65,Mohsin Raza,ARY News,Jang,Islamabad,Islamabad,Crime,Court orders release of missing persons,,,68.0,0.5004913883,0.0,11.83856063,57394.0,,0,0,2018-01-04,Urdu,Neutral,,"['Media', 'Politics']",0
66,Mohsin Raza,Samaa TV,Daily Pakistan,Punjab,Rawalpindi,Media,PEMRA issues warning to multiple channels,37.39029519,,75.0,,,33.92136857,,239086.4151,1,0,2024-03-10,ENG,Opposition,7469.0,"['Media', 'Politics']",1
67,Shahzeb Khanzada,Express News,Daily Pakistan,Punjab,Multan,Terrorism,Security forces foil major terror bid,84.28339237,20000000.0,310.0,0.6582008754,3.0,31.03874103,194926.0,,0,0,2025-11-16,Urdu,Neutral,,"['Politics', 'Economy', 'Media']",0
68,Kamran Khan,Geo News,Express Tribune,Islamabad,Islamabad,Economy,HEC budget slashed again,,1965505.0,,1.617975143,4.0,35.10428687,29889.0,5000000.0,1,0,2021-10-17,ENG,Opposition,,"['Politics', 'Economy', 'Sports', 'Media']",1
69,Rauf Klasra,ARY News,Dawn,Balochistan,Quetta,Crime,Chief Justice orders suo moto on Karachi violence,25.8276565,5000000.0,113.0,,3.0,1946925.0,,,0,0,2023-08-03,urdu,Neutral,39412.0,"['Politics', 'Economy']",0
70,Owais Tohid,Dawn News,Nawa-i-Waqt,Punjab,Rawalpindi,Politics,Election rigging scandal unfolds in Lahore,14.04576476,20000000.0,,,1.0,1420016.0,,,,0,2018-02-27,ENG,Neutral,28508.0,"['Media', 'Politics']",1
71,Nusrat Javed,ARY News,The News,KPK,Peshawar,Economy,HEC budget slashed again,60.73928833,20000000.0,,1.44677388,0.0,727749.0,,5000000.0,1,0,2020-10-10,Urdu,Neutral,22669.0,"['Politics', 'Media']",0
72,Mohsin Raza,Samaa TV,Jang,AJK,Muzaffarabad,Economy,Revenue from tax declines drastically,32.55302989,5000000.0,,,-1.0,,112378.0,5000000.0,0,0,2020-08-28,Urdu,,,"['Media', 'Politics']",0
73,Shahzeb Khanzada,Hum News,Nawa-i-Waqt,Balochistan,Quetta,Terrorism,Army chief meets PM over political crisis,33.21570831,,,,3.0,580710.0,126596.0,10000000.0,0,0,2020-12-01,English,,,"['Politics', 'Economy', 'Media']",0
74,Matiullah Jan,Express News,Jang,Sindh,Hyderabad,Sports,Babar Azam century wins the game,,20000000.0,,-1.661063222,,1988889.0,,10000000.0,0,0,2018-11-28,English,,39520.0,"['Judiciary', 'Politics']",0
75,Dr. Shahid Masood,ARY News,Express Tribune,AJK,Muzaffarabad,Media,Journalists protest censorship in Islamabad,93.17796184,5000000.0,,-1.184778124,2.0,28.47371079,,10000000.0,0,0,2025-08-17,urdu,,,"['Politics', 'Judiciary']",0
76,Kamran Khan,Dawn News,Nawa-i-Waqt,Punjab,Lahore,Politics,Government to increase petrol price by Rs. 20,,15479399.0,380.0,1.167382258,,25.38499908,,5000000.0,1,0,2018-06-27,urdu,Opposition,,"['Politics', 'Economy', 'Sports', 'Media']",1
77,Kamran Khan,ARY News,Daily Pakistan,Sindh,Karachi,Crime,Counter-terrorism department arrests suspects,74.25988155,5000000.0,108.0,,2.0,,,10000000.0,0,0,2024-01-24,urdu,Pro-Govt,45068.0,"['Politics', 'Economy', 'Sports', 'Media']",0
78,Rauf Klasra,Geo News,Jang,Islamabad,Islamabad,Terrorism,Quetta blast: ISPR releases statement,,20000000.0,196.0,0.1402590955,-1.0,191130.0,158809.0,,0,0,2019-07-15,,Opposition,19455.0,"['Politics', 'Economy']",0
79,Mohsin Raza,ARY News,Express Tribune,Balochistan,Quetta,Economy,Bomb blast near Karachi market,,,,,5.0,27.51086222,,5000000.0,0,0,2025-03-23,English,Opposition,,"['Media', 'Politics']",0
80,Dr. Shahid Masood,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Media,PEMRA issues warning to multiple channels,,5000000.0,106.0,-0.4035969278,,42.407015,,2611462.346,1,0,2020-02-23,urdu,Opposition,16826.0,"['Politics', 'Judiciary']",0
81,Mohsin Raza,Hum News,Jang,Balochistan,Quetta,Environment,Flood relief funds under scrutiny,100.0,,,-1.904478622,2.0,1989903.0,187359.0,5000000.0,,0,2019-03-08,Urdu,Neutral,24481.0,"['Media', 'Politics']",0
82,Asma Shirazi,Geo News,The News,KPK,Peshawar,Terrorism,Security forces foil major terror bid,,1000000.0,356.0,,,23.56236231,,,1,0,2018-03-23,,,10030.0,"['Politics', 'Media']",0
83,Shahzeb Khanzada,AbbTakk News,Jang,Punjab,Lahore,Sports,Pakistan faces defeat in hockey series,38.11271022,1000000.0,354.0,,-1.0,,,2358895.762,,0,2018-10-24,English,Neutral,,"['Politics', 'Economy', 'Media']",0
84,Nusrat Javed,ARY News,Dawn,Punjab,Lahore,Environment,NDMA warns of heavy rains in Punjab,,20000000.0,,-0.7766530154,5.0,7.862760807,149602.0,5000000.0,1,0,2018-03-06,English,,,"['Politics', 'Media']",0
85,Ansar Abbasi,Geo News,Daily Pakistan,Punjab,Lahore,Economy,Pakistan seeks investment from Gulf countries,,7447644.0,,-0.02904469423,,31.13345768,,,0,0,2025-03-07,Urdu,Pro-Govt,18073.0,"['Judiciary', 'Politics']",0
86,Kamran Khan,Geo News,The News,Punjab,Lahore,Sports,New talent emerges in under-19 cricket,10.89871793,5000000.0,,-0.5513887175,,10468.0,,5000000.0,0,0,2019-06-11,,Opposition,49471.0,"['Politics', 'Economy', 'Sports', 'Media']",1
87,Dr. Shahid Masood,ARY News,Daily Pakistan,Sindh,Hyderabad,Media,Dawn faces backlash over editorial,12.01367814,18086730.0,171.0,,5.0,,88078.0,5000000.0,0,0,2025-07-03,urdu,Neutral,,"['Politics', 'Judiciary']",0
88,Owais Tohid,Express News,The News,Punjab,Multan,Media,Journalists protest censorship in Islamabad,21.48089969,,,0.5598558984,,10.6416209,,3409907.49,1,0,2020-06-19,ENG,,43004.0,"['Media', 'Politics']",1
89,Dr. Shahid Masood,ARY News,Dawn,AJK,Muzaffarabad,Health,Hospitals face medicine shortages,,20000000.0,227.0,,,61910.0,162305.0,10000000.0,1,0,2020-07-01,,,,"['Politics', 'Judiciary']",0
90,Kamran Shahid,Hum News,Dawn,Balochistan,Quetta,Politics,PPP vs PMLN war of words heats up,,20000000.0,258.0,,,272694.0,176042.0,,0,0,2021-01-25,urdu,Neutral,589.0,"['Politics', 'Media']",1
91,Asma Shirazi,Express News,Nawa-i-Waqt,AJK,Muzaffarabad,Economy,IMF deal finalised today,100.0,5000000.0,,1.652815303,,47.82101019,29545.0,5000000.0,0,0,2024-08-19,,,,"['Politics', 'Media']",0
92,Shahzeb Khanzada,Geo News,Jang,Punjab,Multan,Education,Teachers boycott classes in KP,,306447.0,247.0,,,,,655924.9351,1,0,2023-08-11,Urdu,,,"['Politics', 'Economy', 'Media']",0
93,Saleem Safi,Samaa TV,Dawn,Sindh,Karachi,Crime,Court orders release of missing persons,100.0,9902954.0,,0.8100762447,,631154.0,183027.0,,0,0,2022-09-17,Urdu,,,"['Politics', 'Terrorism']",0
94,Rauf Klasra,Geo News,Express Tribune,Punjab,Rawalpindi,Politics,Government launches CPEC project in Gwadar,82.34861026,20000000.0,,-0.7713861018,,1769279.0,102880.0,10000000.0,0,0,2019-12-07,,Pro-Govt,,"['Politics', 'Economy']",1
95,Asma Shirazi,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Politics,Election rigging scandal unfolds in Lahore,,1000000.0,,,,390634.0,,,1,0,2025-05-21,urdu,Neutral,,"['Politics', 'Media']",1
96,Ansar Abbasi,ARY News,Express Tribune,Punjab,Lahore,Environment,Floods devastate Sindh villages,65.2412767,9010307.0,,,2.0,3.638504997,,5000000.0,1,0,2019-02-05,urdu,Pro-Govt,,"['Judiciary', 'Politics']",0
97,Ansar Abbasi,Dawn News,Dawn,AJK,Muzaffarabad,Politics,Government to increase petrol price by Rs. 20,48.42382465,20000000.0,211.0,0.4818464374,,547770.0,,,0,0,2019-05-07,,Pro-Govt,1383.0,"['Judiciary', 'Politics']",1
98,Kamran Khan,Geo News,Jang,Sindh,Karachi,Politics,Khan addresses rally in Multan,,15734003.0,,1.879574629,-1.0,35.0750884,,5000000.0,0,0,2021-02-17,ENG,Neutral,1596.0,"['Politics', 'Economy', 'Sports', 'Media']",1
99,Kamran Khan,Express News,Dawn,Punjab,Multan,Sports,New talent emerges in under-19 cricket,,20000000.0,,-0.7967571484,-1.0,1157695.0,174927.0,,1,0,2018-11-18,,Neutral,,"['Politics', 'Economy', 'Sports', 'Media']",1
100,Mohsin Raza,ARY News,Dawn,Islamabad,Islamabad,Crime,Court orders release of missing persons,,,179.0,,,39.5939975,,,0,0,2021-12-13,Urdu,,11513.0,"['Media', 'Politics']",0
101,Kamran Shahid,ARY News,Nawa-i-Waqt,Balochistan,Quetta,Economy,Exports see slight recovery,100.0,1000000.0,408.0,,1.0,494534.0,151123.0,3407934.71,,0,2022-08-07,Urdu,Pro-Govt,28693.0,"['Politics', 'Media']",0
102,Saleem Safi,Samaa TV,Daily Pakistan,Punjab,Rawalpindi,Politics,Khan addresses rally in Multan,,5000000.0,168.0,,2.0,1033869.0,,,0,0,2023-03-24,Urdu,Neutral,,"['Politics', 'Terrorism']",1
103,Dr. Shahid Masood,AbbTakk News,Nawa-i-Waqt,Sindh,Karachi,Education,Student unions demand restoration,48.82271435,3049104.0,372.0,,1.0,39.03791046,,3900533.787,0,0,2025-02-08,English,,32363.0,"['Politics', 'Judiciary']",0
104,Kamran Khan,Hum News,Nawa-i-Waqt,Punjab,Multan,Politics,Election rigging scandal unfolds in Lahore,,1000000.0,,-1.024232934,,884507.0,,1407934.802,,0,2022-06-18,,Opposition,15210.0,"['Politics', 'Economy', 'Sports', 'Media']",1
105,Saleem Safi,Samaa TV,Daily Pakistan,AJK,Muzaffarabad,Sports,New talent emerges in under-19 cricket,33.10420943,3271461.0,,-0.5437034343,3.0,24.60478836,171056.0,3009744.238,1,0,2023-07-14,English,,,"['Politics', 'Terrorism']",0
106,Owais Tohid,AbbTakk News,Nawa-i-Waqt,Sindh,Karachi,Environment,Karachi drainage system collapses,84.31481087,14898287.0,307.0,,4.0,,,2931202.043,0,0,2018-03-11,English,,27378.0,"['Media', 'Politics']",0
107,Umar Cheema,ARY News,The News,Punjab,Rawalpindi,Media,"Judiciary under pressure, say analysts",100.0,20000000.0,272.0,-1.813284793,2.0,48.1197317,,3267141.119,0,0,2019-08-18,urdu,Neutral,28438.0,"['Crime', 'Politics']",0
108,Talat Hussain,Hum News,Daily Pakistan,Punjab,Lahore,Environment,Thousands displaced due to rains,67.2092953,11099814.0,,,,10.15112731,,,,0,2025-11-11,,Pro-Govt,,"['Politics', 'Media']",0
109,Matiullah Jan,Express News,The News,Balochistan,Quetta,Judiciary,CJ addresses bar association,85.47855923,5000000.0,411.0,-0.4484673233,,,,5000000.0,0,0,2023-06-18,,Neutral,,"['Judiciary', 'Politics']",1
110,Ansar Abbasi,Express News,Dawn,Sindh,Hyderabad,Terrorism,Attack on Army convoy in Waziristan,,12856908.0,,1.236390757,,,,10000000.0,0,0,2023-04-14,Urdu,,,"['Judiciary', 'Politics']",0
111,Shahzeb Khanzada,Dawn News,Nawa-i-Waqt,Punjab,Multan,Terrorism,Five soldiers martyred in ambush,,,,-0.5900940982,5.0,688647.0,138023.0,10000000.0,1,0,2024-01-03,ENG,Neutral,570.0,"['Politics', 'Economy', 'Media']",0
